"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.626965600E-2,6.556333899E-1,1.708475351E0,9.719645500E0
5.595366700E-2,5.790630579E-1,1.555334687E0,9.762716293E0
6.563720800E-2,5.120640397E-1,1.450050473E0,9.911071777E0
7.532111500E-2,5.072783828E-1,1.392622828E0,9.963713646E0
8.500455200E-2,5.886343718E-1,1.359123230E0,9.858428955E0
9.468840600E-2,7.130611539E-1,1.373480201E0,9.848857880E0
1.043731460E-1,8.087740541E-1,1.383051515E0,9.772287369E0
1.140561670E-1,7.226324677E-1,1.406979680E0,9.695717812E0
1.237390310E-1,6.364908218E-1,1.517049551E0,9.777072906E0
1.334229900E-1,5.790630579E-1,1.603191137E0,9.834501266E0
1.431078850E-1,5.551348329E-1,1.607976794E0,9.805787086E0
1.527917920E-1,6.795616150E-1,1.478764415E0,9.772287369E0
1.624761670E-1,8.231309652E-1,1.368694544E0,9.729216576E0
1.721618960E-1,8.709874153E-1,1.325623751E0,9.786644936E0
1.818455420E-1,7.034898400E-1,1.454836130E0,9.906285286E0
1.915314790E-1,5.264210105E-1,1.531406522E0,9.930213928E0
2.012160100E-1,5.216353536E-1,1.584048629E0,9.934999466E0
2.109003330E-1,5.647061467E-1,1.588834286E0,9.944570541E0
2.205824170E-1,6.891329288E-1,1.435693622E0,9.872786522E0
2.302650730E-1,7.657032609E-1,1.373480201E0,9.834501266E0
2.399487710E-1,7.800601721E-1,1.435693622E0,9.911071777E0
2.496315830E-1,8.422735929E-1,1.464407444E0,9.963713646E0
2.593167400E-1,8.566305041E-1,1.584048629E0,9.915857315E0
2.690011150E-1,7.322037220E-1,1.655833244E0,9.934999466E0
2.786848650E-1,5.168496966E-1,1.751546144E0,1.008814049E1
2.883689790E-1,4.211367965E-1,1.852044702E0,1.041835022E1
2.980526250E-1,5.264210105E-1,2.062613010E0,1.088734341E1
3.077371560E-1,6.412764788E-1,2.182254314E0,1.091605663E1
3.174217400E-1,4.689932466E-1,2.163111687E0,1.064806080E1
3.271071560E-1,3.876372576E-1,2.014756680E0,1.031306553E1
3.367912710E-1,2.679961324E-1,1.899901152E0,1.020299530E1
3.464751770E-1,3.254238665E-1,1.483550072E0,1.083948612E1
3.561605420E-1,9.619147182E-1,1.320838094E0,1.054756260E1
3.658449170E-1,7.800601721E-1,1.813759565E0,1.070548820E1
3.755281980E-1,8.135597110E-1,1.852044702E0,1.031306553E1
3.852128850E-1,8.997012973E-1,1.741974831E0,9.944570541E0
3.948979900E-1,8.805587292E-1,1.794616938E0,9.671789169E0
4.045808540E-1,8.327022791E-1,1.813759565E0,9.714859962E0
4.142651770E-1,7.417750359E-1,1.789831281E0,9.781859398E0
4.239495520E-1,6.221339107E-1,1.698904037E0,9.714859962E0
4.336350210E-1,5.503492355E-1,1.550549030E0,9.834501266E0
4.433215830E-1,5.120640397E-1,1.430907965E0,1.003071213E1
4.530067400E-1,3.397808075E-1,1.392622828E0,1.007378292E1
4.626931460E-1,2.201396823E-1,1.287338614E0,1.038485050E1
4.723790310E-1,1.962114573E-1,1.301695466E0,1.064806080E1
4.820633540E-1,1.387837082E-1,1.531406522E0,1.063370419E1
4.917480420E-1,9.571290761E-2,1.703689694E0,1.033220863E1
5.014335100E-1,1.244267747E-1,1.674975872E0,1.020778179E1
5.111177810E-1,1.531406492E-1,1.718046665E0,1.009771156E1
5.208040310E-1,2.584248483E-1,1.789831281E0,1.005942631E1
5.304904900E-1,4.067798555E-1,1.866401672E0,9.978070259E0
5.401749690E-1,4.929214716E-1,1.871187329E0,9.844072342E0
5.498596040E-1,5.120640397E-1,1.785045743E0,9.829715729E0
5.595441350E-1,5.551348329E-1,1.770688772E0,9.762716293E0
5.692287710E-1,5.120640397E-1,1.804188251E0,9.844072342E0
5.789143440E-1,4.929214716E-1,1.789831281E0,9.930213928E0
5.885981980E-1,4.450650215E-1,1.751546144E0,9.906285286E0
5.982823130E-1,4.785645306E-1,1.569691658E0,9.662218094E0
6.079669480E-1,1.493121386E0,7.561319470E-1,8.695517540E0
6.176531980E-1,4.019941986E-1,2.455035925E0,9.824930191E0
6.273374170E-1,1.378265858E0,1.861616015E0,9.537791252E0
6.370221560E-1,9.858429432E-1,1.392622828E0,1.021256733E1
6.467077810E-1,1.464407444E0,6.460621357E-1,9.657432556E0
6.563937190E-1,1.531406522E0,6.317051649E-1,9.097511292E0
6.660793440E-1,1.292124271E0,9.188438654E-1,9.016156197E0
6.757655420E-1,9.236295223E-1,1.354337573E0,9.236295700E0
6.854515310E-1,7.369893789E-1,1.512263894E0,9.446864128E0
6.951367400E-1,7.226324677E-1,1.201196909E0,9.595218658E0
7.048223130E-1,5.551348329E-1,7.178468108E-1,9.470791817E0
7.145077290E-1,6.795616150E-1,-1.196411327E-1,9.528220177E0
7.241937710E-1,2.584248483E-1,4.785645287E-3,9.308079720E0
7.338776770E-1,2.105683982E-1,-5.742774159E-2,9.279366493E0
7.435619480E-1,4.115654826E-1,-6.221338734E-2,9.552147865E0
7.532472080E-1,2.536391914E-1,4.833501875E-1,9.710074425E0
7.629320000E-1,-1.531406492E-1,8.374879360E-1,1.000678444E1
7.726176770E-1,-1.627119333E-1,1.435693540E-2,1.122233772E1
7.823021040E-1,-3.493520916E-1,-2.775674164E-1,1.178225899E1
7.919860100E-1,-1.531406492E-1,-2.967100143E-1,1.110748291E1
8.016704380E-1,4.689932466E-1,-8.614161611E-1,9.906285286E0
8.113547080E-1,1.674975902E-1,-3.445664644E-1,9.427721024E0
8.210385100E-1,-2.488535494E-1,5.742774606E-1,8.834300995E0
8.307228850E-1,-1.962114573E-1,1.067198873E0,9.126225471E0
8.404080420E-1,2.392822690E-2,1.713261008E0,9.528220177E0
8.500924690E-1,3.302095234E-1,1.962114573E0,9.868000984E0
8.597772600E-1,6.652047038E-1,1.770688772E0,9.781859398E0
8.694621040E-1,1.153340459E0,1.737189293E0,9.126225471E0
8.791465310E-1,1.804188251E0,9.667003751E-1,8.274380684E0
8.888316880E-1,2.134397745E0,4.785645306E-1,7.532605648E0
8.985148650E-1,2.000399828E0,5.694918036E-1,7.192824841E0
9.081986150E-1,1.770688772E0,1.129412293E0,7.087540627E0
9.178836670E-1,1.325623751E0,1.737189293E0,6.881757736E0
9.275673650E-1,1.071984529E0,2.019542217E0,6.738188744E0
9.372512710E-1,9.762716293E-1,1.947757602E0,7.542177200E0
9.469374170E-1,8.757730722E-1,1.502692580E0,9.528220177E0
9.566225730E-1,7.226324677E-1,7.609176040E-1,1.134197903E1
9.663078850E-1,2.440679073E-1,-1.062413216E0,1.298345566E1
9.759925210E-1,-2.201396823E-1,-1.952543259E0,1.296909904E1
9.856771040E-1,6.077769399E-1,-4.689932466E-1,1.109791183E1
9.953625730E-1,1.799402595E0,1.268195987E0,9.906285286E0
1.005047313E0,2.081755638E0,1.718046665E0,9.982855797E0
1.014732365E0,2.277967215E0,1.674975872E0,9.145368576E0
1.024417260E0,2.761317253E0,1.215553880E0,8.322237015E0
1.034101531E0,2.837887764E0,1.062413216E0,7.613961697E0
1.043786323E0,3.110669374E0,7.848458290E-1,7.647460938E0
1.053471583E0,3.134597778E0,4.498506486E-1,8.049455643E0
1.063156219E0,2.876172781E0,2.871387303E-1,9.073583603E0
1.072839760E0,2.512463808E0,1.770688742E-1,9.997213364E0
1.082522833E0,2.311466694E0,-9.092725813E-2,1.042313576E1
1.092205177E0,2.057827473E0,-2.249253243E-1,1.041356373E1
1.101891063E0,2.134397745E0,-6.269195080E-1,1.027956581E1
1.111574656E0,2.249253273E0,-1.081555843E0,1.050449181E1
1.121259760E0,2.383251429E0,-1.320838094E0,1.086341476E1
1.130946219E0,2.622533560E0,-1.540977836E0,1.205504036E1
1.140633979E0,2.746960402E0,-1.670190215E0,1.332802200E1
1.150319500E0,2.991028309E0,-1.727617979E0,1.428036594E1
1.160004760E0,3.125026464E0,-1.679761529E0,1.422772312E1
1.169690594E0,2.962314367E0,-8.757730722E-1,1.339502144E1
1.179376115E0,3.306880951E0,-6.221339107E-1,1.223210907E1
1.189062208E0,3.838087559E0,-8.662018180E-1,1.096869946E1
1.198748302E0,4.019941807E0,-1.004985452E0,1.100219822E1
1.208434135E0,3.656233072E0,1.004985496E-1,1.088734341E1
1.218120021E0,4.082155228E0,7.082754970E-1,1.120319557E1
1.227804500E0,3.431307554E0,2.670390129E0,1.174875927E1
1.237488354E0,2.775674343E0,4.259224415E0,7.934599876E0
1.247172938E0,4.177868366E0,4.536791801E0,5.670989513E0
1.256855333E0,5.431707382E0,4.278367043E0,6.254838467E0
1.266539552E0,5.465207100E0,4.407579422E0,5.910272121E0
1.276225490E0,5.058426857E0,3.986442566E0,6.192625046E0
1.285909604E0,4.474578381E0,3.144168854E0,6.384050846E0
1.295594917E0,4.106083870E0,2.292324066E0,6.642475605E0
1.305280438E0,4.197010994E0,1.636690736E0,6.407979012E0
1.314964969E0,4.192225456E0,1.416550994E0,6.072983742E0
1.324650073E0,4.225724697E0,1.962114573E0,5.785845280E0
1.334334188E0,4.240081787E0,3.038884640E0,5.249852657E0
1.344019865E0,4.618147850E0,4.445864677E0,4.374079704E0
1.353704656E0,4.991427898E0,5.790630817E0,3.622733593E0
1.363389188E0,4.364508629E0,6.848258495E0,4.063013077E0
1.373074552E0,4.134797573E0,6.250052929E0,6.211767673E0
1.382759552E0,3.909872293E0,4.450650215E0,7.781459332E0
1.392445750E0,5.785845280E0,2.297109842E0,7.996813297E0
1.402130750E0,7.829315662E0,1.186840057E0,7.963313580E0
1.411815594E0,7.216753006E0,1.928615093E0,7.202396393E0
1.421500177E0,7.188039303E0,1.914258122E0,6.656832695E0
1.431187469E0,6.695117950E0,2.579462767E0,7.077969551E0
1.440872313E0,7.283751965E0,2.976671457E0,7.465606689E0
1.450557469E0,7.508677483E0,2.837887764E0,7.633104324E0
1.460242052E0,7.221538544E0,1.244267821E0,7.843672752E0
1.469927365E0,6.618547440E0,7.369893789E-1,7.666603565E0
1.479612417E0,5.699703693E0,7.513462901E-1,8.030312538E0
1.489297885E0,5.053641319E0,1.239482164E0,7.934599876E0
1.498982729E0,4.460221291E0,1.775474429E0,8.020741463E0
1.508667938E0,4.747360229E0,1.722832322E0,7.082755089E0
1.518353563E0,6.039484501E0,2.258824587E0,5.513063431E0
1.528038042E0,6.738188744E0,2.478964329E0,3.862015724E0
1.537721427E0,7.173682213E0,1.813759565E0,3.081955671E0
1.547405802E0,6.853044033E0,1.550549030E0,4.024727821E0
1.557090594E0,6.235695839E0,1.004985452E0,6.723831654E0
1.566774552E0,6.374479294E0,-4.977070987E-1,8.260024071E0
1.576459448E0,6.776473522E0,-1.138983607E0,7.657032490E0
1.586143302E0,7.164111137E0,-3.302095234E-1,5.843272686E0
1.595827469E0,7.058826923E0,8.757730722E-1,4.795216560E0
1.605512156E0,6.920042992E0,1.804188251E0,4.584648132E0
1.615197990E0,6.953542709E0,1.832902193E0,6.187839508E0
1.624884708E0,7.211967468E0,1.182054400E0,7.982456207E0
1.634567260E0,7.283751965E0,2.919243574E-1,8.149953842E0
1.644251844E0,7.389036179E0,-6.939185858E-1,6.929614544E0
1.653934813E0,7.235895634E0,-4.737788737E-1,4.699503899E0
1.663619448E0,7.192824841E0,-2.153540403E-1,3.005385160E0
1.673303250E0,7.532605648E0,1.674975902E-1,2.794816732E0
1.682988458E0,7.628318787E0,9.332008362E-1,3.780659676E0
1.692673094E0,7.920242786E0,8.709874153E-1,5.388636589E0
1.702357781E0,8.317451477E0,2.536391914E-1,6.412764549E0
1.712041688E0,8.422736168E0,-1.818545163E-1,6.082555294E0
1.721724917E0,8.374878883E0,-4.594219327E-1,4.934000492E0
1.731409552E0,8.164310455E0,-2.967100143E-1,3.603590965E0
1.741093667E0,8.169096947E0,1.674975902E-1,3.077169895E0
1.750778719E0,8.188239098E0,6.173482537E-1,3.182454109E0
1.760462885E0,8.197810173E0,1.421336651E0,4.173082829E0
1.770146167E0,8.470592499E0,1.359123230E0,4.833501816E0
1.779828198E0,8.958727837E0,1.167697430E0,4.766502857E0
1.789512313E0,9.327222824E0,9.332008362E-1,4.450650215E0
1.799196375E0,9.796216011E0,5.024927258E-1,4.780859470E0
1.808880333E0,1.001156998E1,4.115654826E-1,5.235496044E0
1.818564656E0,1.035135078E1,1.674975902E-1,5.082355499E0
1.828250698E0,1.047577763E1,9.092725813E-2,4.091726780E0
1.837935542E0,1.015513897E1,-2.297109663E-1,2.991028309E0
1.847619708E0,9.734002113E0,-1.531406492E-1,2.081755638E0
1.857305073E0,8.925228119E0,5.742774159E-2,1.665404558E0
1.866988979E0,8.379665375E0,9.571290761E-2,1.785045743E0
1.876672781E0,8.293522835E0,4.737788737E-1,2.206182480E0
1.886356635E0,9.025727272E0,5.072783828E-1,3.220739365E0
1.896040854E0,9.786644936E0,4.737788737E-1,3.574877024E0
1.905726063E0,1.004506969E1,5.168496966E-1,3.823730469E0
1.915409865E0,9.834501266E0,3.493520916E-1,3.517449379E0
1.925094500E0,9.609575272E0,3.302095234E-1,3.397808075E0
1.934779240E0,9.547362328E0,3.684946895E-1,2.933600664E0
1.944464500E0,9.528220177E0,9.284151793E-1,2.593819857E0
1.954149083E0,9.370293617E0,1.014556766E0,2.416750908E0
1.963834031E0,9.236295700E0,1.856830359E0,2.785245657E0
1.973518719E0,9.379864693E0,2.416750908E0,2.986242771E0
1.983203146E0,9.470791817E0,2.627319336E0,3.043670416E0
1.992887052E0,9.437292099E0,2.646461725E0,3.560520172E0
2.002571688E0,9.413364410E0,2.263610125E0,3.684946775E0
2.012256635E0,9.332008362E0,1.631905079E0,3.206382275E0
2.021939135E0,9.087940216E0,1.421336651E0,2.837887764E0
2.031622990E0,8.772088051E0,1.971685886E0,3.038884640E0
2.041307260E0,1.004028416E1,3.919443607E0,1.722832322E0
2.050992521E0,8.915657043E0,9.188438654E-1,1.464407444E0
2.060677885E0,8.528019905E0,9.762716293E-1,2.723032236E0
2.070363198E0,8.848658562E0,8.279166222E-1,5.063212872E0
2.080047521E0,9.963713646E0,4.307080805E-1,5.158925533E0
2.089732990E0,1.144726372E1,-2.105683982E-1,4.134797573E0
2.099418250E0,1.171047401E1,3.828516304E-1,3.550948858E0
2.109104135E0,1.100698376E1,1.225125194E0,3.115455151E0
2.118789188E0,9.891928673E0,1.540977836E0,3.613162279E0
2.128472208E0,8.872586250E0,1.459621787E0,3.402593851E0
2.138156479E0,7.968099594E0,1.402194023E0,3.091526747E0
2.147840906E0,7.862815380E0,8.566305041E-1,2.641676188E0
2.157525333E0,9.111868858E0,5.551348329E-1,7.609176040E-1
2.167211531E0,8.647661209E0,-1.086341500E0,1.086341500E0
2.176896583E0,8.882157326E0,-9.044869542E-1,1.138983607E0
2.186581583E0,9.217152596E0,-7.896314859E-1,2.517249346E0
2.196264917E0,9.619147301E0,-7.082754970E-1,4.187439442E0
2.205949344E0,9.954142570E0,-4.642075896E-1,5.182853699E0
2.215633875E0,9.786644936E0,2.871387079E-2,4.737788677E0
2.225319604E0,9.236295700E0,6.843472719E-1,2.699103832E0
2.235005021E0,9.360722542E0,4.115654826E-1,1.952543259E0
2.244690229E0,9.226723671E0,3.158525825E-1,2.325823545E0
2.254373094E0,9.293723106E0,0.000000000E0,3.062813044E0
2.264055906E0,8.863015175E0,6.412764788E-1,3.991228104E0
2.273739708E0,8.724231720E0,8.422735929E-1,3.751945972E0
2.283422625E0,9.097511292E0,7.657032460E-2,3.656233072E0
2.293106792E0,9.552147865E0,-1.722832322E-1,5.130211830E0
2.302791219E0,1.042792130E1,-1.234696507E0,4.776073933E0
2.312475333E0,1.033220863E1,-7.130611539E-1,4.331008911E0
2.322159292E0,9.164510727E0,3.014956415E-1,3.340380430E0
2.331844292E0,8.169096947E0,1.249053478E0,3.058027267E0
2.341528146E0,8.135597229E0,2.009970903E0,2.579462767E0
2.351213771E0,8.824729919E0,2.062613010E0,1.761117458E0
2.360899344E0,9.437292099E0,1.450050473E0,7.657032609E-1
2.370585802E0,9.446864128E0,9.810572863E-1,-5.072783828E-1
2.380270490E0,1.000678444E1,7.465606928E-1,-1.339980662E-1
2.389954240E0,1.023170948E1,4.546363056E-1,3.349951655E-2
2.399638719E0,9.944570541E0,5.407779217E-1,3.780659735E-1
2.409322833E0,9.805787086E0,3.062812984E-1,1.138983607E0
2.419007469E0,9.628718376E0,6.317051649E-1,1.871187329E0
2.428691063E0,9.312865257E0,1.368694544E0,2.024327993E0
2.438375854E0,9.140582085E0,1.947757602E0,1.895115495E0
2.448061010E0,9.188439369E0,2.220539331E0,1.588834286E0
2.457746375E0,9.255437851E0,1.598405480E0,1.253839016E0
2.467430854E0,9.332008362E0,8.949156404E-1,9.954141974E-1
2.477114604E0,9.284152031E0,6.891329288E-1,5.120640397E-1
2.486799396E0,9.245866776E0,3.445664644E-1,4.881358147E-1
2.496484865E0,9.341579437E0,2.919243574E-1,7.274180651E-1
2.506170333E0,9.647860527E0,-1.339980662E-1,1.531406492E-1
2.515855958E0,9.528220177E0,-1.818545163E-1,-3.158525825E-1
2.525539917E0,9.178867340E0,2.392822690E-2,-3.493520916E-1
2.535225646E0,8.738588333E0,3.254238665E-1,1.914258115E-2
2.544913250E0,9.901499748E0,4.173082829E0,2.431107712E1
2.554598198E0,9.111868858E0,-1.478764415E0,1.421336651E0
2.564283615E0,8.958727837E0,-1.148554832E-1,-5.647061467E-1
2.573969552E0,8.135597229E0,-1.674975902E-1,9.097511292E0
2.583656010E0,7.460821152E0,9.667003751E-1,2.857030153E0
2.593340750E0,7.972885132E0,-6.221338734E-2,2.139183521E0
2.603027260E0,9.265008926E0,3.589234054E-1,1.718046665E0
2.612711479E0,1.006899738E1,6.221338734E-2,2.694318295E0
2.622395958E0,1.002592659E1,2.105683982E-1,2.426322222E0
2.632082781E0,9.107083321E0,8.853443861E-1,2.254039049E0
2.641768354E0,8.044670105E0,1.574477315E0,2.541177750E0
2.651454396E0,7.350750923E0,2.172683001E0,2.857030153E0
2.661138771E0,6.972685337E0,2.517249346E0,3.220739365E0
2.670823927E0,7.082755089E0,2.196611166E0,3.086741209E0
2.680508563E0,1.914736748E1,-6.005984783E0,4.077369690E0
2.690194188E0,6.077769279E0,1.249053478E0,4.819144726E0
2.699880333E0,1.193539906E1,-2.182254314E0,1.004985452E0
2.709566792E0,8.953942299E0,-3.828516304E-1,3.924229145E-1
2.719253875E0,9.547362328E0,-4.259224236E-1,-6.699903309E-2
2.728939813E0,9.375079155E0,-2.440679073E-1,-3.302095234E-1
2.738625802E0,9.580862045E0,9.571290575E-3,1.593619823E0
2.748311531E0,9.724431038E0,-1.004985496E-1,1.521835208E0
2.757996375E0,9.628718376E0,-7.178468257E-2,1.875972986E0
2.767681740E0,9.571290970E0,5.264209956E-2,2.751745939E0
2.777367000E0,9.566504478E0,2.057827413E-1,2.368894339E0
2.787052885E0,9.619147301E0,8.614161611E-2,1.871187329E0
2.796737625E0,9.451649666E0,5.264209956E-2,1.306481123E0
2.806423198E0,9.494720459E0,6.221338734E-2,7.178468108E-1
2.816107885E0,9.609575272E0,3.828516230E-2,1.445264935E0
2.825792260E0,9.614361763E0,1.435693540E-2,1.493121386E0
2.835476115E0,9.633503914E0,4.307080805E-2,1.296909928E0
2.845160594E0,9.623932838E0,4.307080805E-2,1.426122308E0
2.854845177E0,9.585647583E0,-4.785645287E-3,1.540977836E0
2.864530073E0,9.590433121E0,9.571290575E-3,1.378265858E0
2.874215021E0,9.614361763E0,0.000000000E0,1.588834286E0
2.883900229E0,9.585647583E0,-4.307080805E-2,3.158525944E0
2.893584031E0,9.427721024E0,4.785645287E-3,2.378465652E0
2.903269292E0,9.714859962E0,-1.100698411E-1,1.694118381E0
