"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.001828600E-2,1.473978758E0,-1.818545163E-1,9.805787086E0
4.989906700E-2,1.464407444E0,-1.818545163E-1,9.853643417E0
5.977839000E-2,1.459621787E0,-1.818545163E-1,9.805787086E0
6.965885900E-2,1.387837172E0,-1.004985496E-1,9.767501831E0
7.953885900E-2,1.272981644E0,8.614161611E-2,9.748359680E0
8.941891100E-2,1.158126116E0,2.632105052E-1,9.714859962E0
9.929823400E-2,1.124626637E0,3.302095234E-1,9.743574142E0
1.091770880E-1,1.177268744E0,2.727817893E-1,9.757930756E0
1.190574000E-1,1.368694544E0,-1.435693540E-2,9.729216576E0
1.289367230E-1,1.344766378E0,9.571290575E-3,9.662218094E0
1.388158380E-1,1.344766378E0,1.435693540E-2,9.753145218E0
1.486953690E-1,1.335195065E0,0.000000000E0,9.896714211E0
1.585740150E-1,1.349551916E0,9.571290575E-3,9.863214493E0
1.684517750E-1,1.349551916E0,1.435693540E-2,9.714859962E0
1.783310980E-1,1.354337573E0,0.000000000E0,9.657432556E0
1.882097440E-1,1.349551916E0,1.435693540E-2,9.724431038E0
1.980880250E-1,1.320838094E0,4.785645287E-3,9.786644936E0
2.079675560E-1,1.335195065E0,1.435693540E-2,9.734002113E0
2.178461500E-1,1.344766378E0,1.435693540E-2,9.652647018E0
2.277257340E-1,1.339980721E0,-2.871387079E-2,9.667003632E0
2.376045880E-1,1.330409408E0,9.571290575E-3,9.872786522E0
2.474834940E-1,1.335195065E0,9.571290575E-3,9.978070259E0
2.571800560E-1,1.335195065E0,1.914258115E-2,9.844072342E0
2.668647960E-1,1.344766378E0,9.571290575E-3,9.657432556E0
2.765506810E-1,1.339980721E0,4.785645287E-3,9.690931320E0
2.862361500E-1,1.339980721E0,4.785645287E-3,9.762716293E0
2.959208900E-1,1.330409408E0,0.000000000E0,9.767501831E0
3.056071400E-1,1.320838094E0,-9.571290575E-3,9.700503349E0
3.152917230E-1,1.325623751E0,2.392822690E-2,9.690931320E0
3.249779210E-1,1.320838094E0,9.571290575E-3,9.719645500E0
3.346635980E-1,1.339980721E0,-1.435693540E-2,9.767501831E0
3.443494840E-1,1.320838094E0,-1.435693540E-2,9.786644936E0
3.540343270E-1,1.316052437E0,-9.571290575E-3,9.863214493E0
3.637195880E-1,1.325623751E0,-4.785645287E-3,9.915857315E0
3.734061500E-1,1.339980721E0,-1.435693540E-2,9.810572624E0
3.830915150E-1,1.368694544E0,-5.742774159E-2,9.695717812E0
3.927766190E-1,1.354337573E0,-5.742774159E-2,9.667003632E0
4.024638060E-1,1.311266780E0,2.871387079E-2,9.714859962E0
4.121491190E-1,1.263410330E0,1.004985496E-1,9.743574142E0
4.218346400E-1,1.325623751E0,-4.785645287E-3,9.738788605E0
4.315216190E-1,1.316052437E0,4.785645287E-3,9.714859962E0
4.412070360E-1,1.311266780E0,1.435693540E-2,9.690931320E0
4.508933380E-1,1.320838094E0,4.785645287E-3,9.633503914E0
4.605795360E-1,1.316052437E0,4.785645287E-3,9.595218658E0
4.702656810E-1,1.320838094E0,-4.785645381E-2,9.896714211E0
4.799517750E-1,1.301695466E0,9.571290575E-3,1.006421185E1
4.896366190E-1,1.316052437E0,0.000000000E0,9.820143700E0
4.993222440E-1,1.325623751E0,4.785645287E-3,9.585647583E0
5.090072960E-1,1.301695466E0,4.785645287E-3,9.753145218E0
5.186928170E-1,1.301695466E0,-9.571290575E-3,9.920642853E0
5.283769310E-1,1.316052437E0,0.000000000E0,9.801001549E0
5.380603690E-1,1.301695466E0,0.000000000E0,9.681360245E0
5.477461500E-1,1.296909928E0,4.785645287E-3,9.738788605E0
5.574314630E-1,1.296909928E0,1.435693540E-2,9.796216011E0
5.671171400E-1,1.244267821E0,8.135596663E-2,9.786644936E0
5.768025040E-1,1.148554921E0,2.488535494E-1,9.695717812E0
5.864874000E-1,1.091127157E0,3.158525825E-1,9.638289452E0
5.961726090E-1,1.167697430E0,2.297109663E-1,9.518648148E0
6.058590670E-1,1.210768223E0,3.158525825E-1,9.150154114E0
6.155449000E-1,1.397408366E0,1.292124242E-1,1.020299530E1
6.252316190E-1,1.488335729E0,-2.344966233E-1,1.081555843E1
6.349178690E-1,1.445264935E0,-4.929214716E-1,1.024606609E1
6.446038060E-1,1.368694544E0,-4.881358147E-1,9.710074425E0
6.542897960E-1,1.392622828E0,-2.105683982E-1,9.781859398E0
6.639760460E-1,1.268195987E0,5.264209956E-2,9.446864128E0
6.736597960E-1,1.296909928E0,-1.435693540E-2,9.772287369E0
6.833445880E-1,1.316052437E0,-9.092725813E-2,9.973284721E0
6.930298480E-1,1.268195987E0,1.866401732E-1,1.018385315E1
7.027152650E-1,1.296909928E0,2.871387079E-2,1.068634605E1
7.124007340E-1,1.368694544E0,-3.828516230E-2,9.552147865E0
7.220845360E-1,1.339980721E0,3.828516230E-2,9.671789169E0
7.317700040E-1,1.359123230E0,2.392822690E-2,1.000199890E1
7.414543790E-1,1.473978758E0,-1.148554832E-1,9.518648148E0
7.511389630E-1,1.612762451E0,-3.206382394E-1,9.738788605E0
