"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.411267900E-2,-1.655833244E0,1.177268744E0,9.351150513E0
5.398637700E-2,-1.622333765E0,1.263410330E0,9.193224907E0
6.385991800E-2,-1.670190215E0,1.406979680E0,9.671789169E0
7.373252300E-2,-1.780260086E0,1.234696507E0,9.930213928E0
8.360486600E-2,-1.775474429E0,1.272981644E0,1.000199890E1
9.347762700E-2,-1.689332843E0,1.115055323E0,9.891928673E0
1.033510120E-1,-1.387837172E0,7.752745152E-1,9.609575272E0
1.132249180E-1,-1.138983607E0,3.972085714E-1,9.767501831E0
1.230983040E-1,-1.067198873E0,2.584248483E-1,9.834501266E0
1.329727830E-1,-1.057627559E0,2.536391914E-1,9.614361763E0
1.428458040E-1,-9.762716293E-1,3.254238665E-1,9.810572624E0
1.527195540E-1,-9.571290612E-1,4.354937077E-1,1.037527943E1
1.625939290E-1,-9.810572863E-1,5.599204898E-1,1.057149029E1
1.724672100E-1,-1.043270707E0,6.556333899E-1,1.048056316E1
1.823410120E-1,-1.086341500E0,7.513462901E-1,1.052841949E1
1.922131480E-1,-1.043270707E0,8.949156404E-1,1.069113159E1
2.020872100E-1,-9.954141974E-1,9.332008362E-1,1.061934662E1
2.119609080E-1,-8.901300430E-1,8.709874153E-1,1.030827999E1
2.218337730E-1,-8.901300430E-1,1.464407444E0,9.523433685E0
2.317066370E-1,-9.667003751E-1,1.789831281E0,8.930013657E0
2.415803350E-1,-8.039883971E-1,1.598405480E0,8.757730484E0
2.514521580E-1,-6.364908218E-1,1.301695466E0,8.824729919E0
2.613252310E-1,-5.168496966E-1,1.076770186E0,8.839086533E0
2.711985120E-1,-4.881358147E-1,8.662018180E-1,8.772088051E0
2.810719500E-1,-4.737788737E-1,5.742774606E-1,8.920442581E0
2.909463770E-1,-4.019941986E-1,1.387837082E-1,9.322437286E0
3.008188020E-1,-3.110669553E-1,-4.881358147E-1,1.020778179E1
3.106933330E-1,-2.297109663E-1,-1.028913736E0,1.097827053E1
3.205676560E-1,-1.148554832E-1,-1.325623751E0,1.083948612E1
3.304417700E-1,-3.828516230E-2,-1.406979680E0,1.014078236E1
3.403158330E-1,-6.699903309E-2,-1.459621787E0,9.245866776E0
3.501881770E-1,-2.823530734E-1,-1.426122308E0,7.556533813E0
3.600626040E-1,-5.503492355E-1,-1.679761529E0,6.953542709E0
3.699366140E-1,-5.694918036E-1,-2.215753794E0,7.905886173E0
3.798112490E-1,-3.589234054E-1,-2.526820660E0,9.556933403E0
3.896854680E-1,-5.742774159E-2,-1.473978758E0,1.019820976E1
3.995593740E-1,-3.158525825E-1,2.297109663E-1,9.600004196E0
4.094327080E-1,-4.450650215E-1,1.737189293E0,9.595218658E0
4.193056770E-1,-4.211367965E-1,2.321038008E0,1.017906761E1
4.291799990E-1,3.110669553E-1,2.105684042E0,1.021735287E1
4.390541660E-1,-9.571290761E-2,2.091326952E0,9.250652313E0
4.489272390E-1,-6.221339107E-1,1.708475351E0,9.154939651E0
4.588010930E-1,-1.191625714E0,5.168496966E-1,1.006421185E1
4.686738540E-1,-1.086341500E0,-1.698904037E0,1.037049294E1
4.784857810E-1,-8.901300430E-1,-3.297309637E0,9.992427826E0
4.881666140E-1,-8.518448472E-1,-2.450250387E0,9.729216576E0
4.978463540E-1,-6.699903607E-1,-3.110669553E-1,1.020299530E1
5.075259370E-1,-2.919243574E-1,1.067198873E0,1.068634605E1
5.172048430E-1,-4.450650215E-1,1.914258122E0,1.013599682E1
5.268835930E-1,-7.274180651E-1,2.086541414E0,9.461220741E0
5.365633850E-1,-9.475577474E-1,1.880758643E0,9.288937569E0
5.462438020E-1,-7.944171429E-1,1.373480201E0,9.384650230E0
5.559228120E-1,-7.561319470E-1,1.086341500E0,9.068798065E0
5.656025520E-1,-8.901300430E-1,7.800601721E-1,9.255437851E0
5.752830720E-1,-9.906286001E-1,4.211367965E-1,1.001156998E1
5.849631240E-1,-1.014556766E0,6.029912829E-1,1.075813103E1
5.946437490E-1,-1.024128079E0,1.052842021E0,1.051406288E1
6.043235930E-1,-1.014556766E0,1.373480201E0,1.005464077E1
6.140037490E-1,-9.906286001E-1,1.536192179E0,9.796216011E0
6.236822390E-1,-1.000199914E0,1.335195065E0,9.676574707E0
6.333623430E-1,-8.422735929E-1,1.129412293E0,9.714859962E0
6.430420310E-1,-1.052841991E-1,1.105484009E0,1.004028416E1
6.527207810E-1,-2.919243574E-1,1.344766378E0,9.839286804E0
6.624012490E-1,-6.843472719E-1,2.081755638E0,9.226723671E0
6.720806770E-1,-5.168496966E-1,1.737189293E0,9.777072906E0
6.817599990E-1,-6.891329288E-1,1.000199914E0,1.024606609E1
6.914404160E-1,-6.221339107E-1,1.928615093E0,1.005942631E1
7.011180200E-1,-2.727817893E-1,2.545963287E0,9.360722542E0
7.107959890E-1,-7.178468257E-2,1.957328916E0,9.293723106E0
7.204757290E-1,-4.785645287E-3,1.603191137E0,8.748159409E0
7.301561970E-1,-1.244267747E-1,1.741974831E0,8.599804878E0
7.398349990E-1,-1.004985496E-1,2.062613010E0,8.575876236E0
7.495143740E-1,-1.292124242E-1,2.029113531E0,9.107083321E0
7.591928640E-1,-4.737788737E-1,2.033899307E0,9.040083885E0
7.688727600E-1,-6.173482537E-1,2.143969059E0,8.824729919E0
7.785514060E-1,-5.024927258E-1,2.148754835E0,8.791230202E0
7.882296350E-1,-1.962114573E-1,2.172683001E0,8.700303078E0
7.979071350E-1,9.571290761E-2,2.201396942E0,8.250452042E0
8.075853640E-1,2.679961324E-1,2.134397745E0,7.695317745E0
8.172642700E-1,2.727817893E-1,1.794616938E0,7.590033531E0
8.269436450E-1,1.818545163E-1,1.641476393E0,8.082955360E0
8.366229680E-1,5.742774159E-2,1.665404558E0,8.800801277E0
8.463018740E-1,-1.818545163E-1,1.794616938E0,9.332008362E0
8.559820310E-1,-3.110669553E-1,2.210968018E0,9.231510162E0
8.656611970E-1,1.722832322E-1,1.808973908E0,9.279366493E0
8.753398950E-1,-1.435693651E-1,1.631905079E0,8.987442017E0
8.850191140E-1,-2.105683982E-1,1.847259045E0,8.666803360E0
8.946984890E-1,-2.153540403E-1,1.957328916E0,8.652446747E0
9.043774470E-1,-8.614161611E-2,1.832902193E0,8.714659691E0
9.140571350E-1,1.100698411E-1,1.579262972E0,9.078369141E0
9.237381240E-1,3.876372576E-1,1.469193101E0,9.738788605E0
9.334173430E-1,7.178468108E-1,1.607976794E0,1.029392338E1
9.430956240E-1,8.183453679E-1,1.765903115E0,1.049491978E1
9.527749990E-1,6.221339107E-1,1.761117458E0,1.021256733E1
9.624557290E-1,4.402793646E-1,1.641476393E0,9.887143135E0
9.721355200E-1,3.349951804E-1,1.292124271E0,1.009292603E1
9.818144790E-1,3.110669553E-1,9.954141974E-1,1.029392338E1
9.914942700E-1,3.924229145E-1,9.667003751E-1,1.039920712E1
1.001174322E0,5.120640397E-1,7.226324677E-1,1.054277611E1
1.010853802E0,8.087740541E-1,4.929214716E-1,1.059541893E1
1.020533645E0,1.316052437E0,4.833501875E-1,1.080598736E1
1.030214166E0,1.335195065E0,4.833501875E-1,1.049013424E1
1.039894843E0,1.306481123E0,3.732803464E-1,1.033220863E1
1.049575781E0,1.383051515E0,1.674975902E-1,1.029392338E1
1.059254218E0,1.416550994E0,1.004985496E-1,9.963713646E0
