"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.376653300E-2,2.378465652E0,-2.584248483E-1,9.628718376E0
5.344997000E-2,2.478964329E0,-2.823530734E-1,9.628718376E0
6.313366800E-2,2.498106956E0,-2.201396823E-1,9.509077072E0
7.281840800E-2,2.488535643E0,-9.092725813E-2,9.336793900E0
8.250231400E-2,2.407179594E0,1.435693540E-2,9.413364410E0
9.218622000E-2,2.244467735E0,8.614161611E-2,9.504291534E0
1.018706990E-1,2.182254314E0,9.571290575E-3,9.336793900E0
1.115556990E-1,2.282752752E0,-4.785645381E-2,9.174081802E0
1.212399180E-1,2.383251429E0,-9.571290761E-2,9.193224907E0
1.309247100E-1,2.536391973E0,-1.627119333E-1,9.327222824E0
1.406086680E-1,2.593819857E0,-1.339980662E-1,9.552147865E0
1.502935120E-1,2.522035122E0,-7.657032460E-2,9.633503914E0
1.599787720E-1,2.488535643E0,1.435693651E-1,9.332008362E0
1.696626780E-1,2.368894339E0,2.967100143E-1,1.014078236E1
1.793469490E-1,2.321038008E0,2.967100143E-1,1.023649502E1
1.890330430E-1,2.254039049E0,3.302095234E-1,1.015513897E1
1.987183030E-1,2.167897224E0,4.689932466E-1,1.013599682E1
2.084021580E-1,1.842473388E0,5.599204898E-1,1.003549862E1
2.180876260E-1,1.555334687E0,6.317051649E-1,1.000199890E1
2.277721580E-1,7.034898400E-1,1.095912814E0,8.360522270E0
2.374575220E-1,1.048056364E0,1.320838094E0,9.126225471E0
2.471431990E-1,1.684547186E0,1.316052437E0,1.104048347E1
2.568287720E-1,1.847259045E0,1.387837172E0,1.098305607E1
2.665135120E-1,1.952543259E0,1.320838094E0,1.030827999E1
2.761983030E-1,1.957328916E0,1.272981644E0,9.839286804E0
2.858812720E-1,1.890329838E0,1.287338614E0,9.537791252E0
2.955654390E-1,1.799402595E0,1.134197950E0,9.231510162E0
3.052490850E-1,1.665404558E0,6.699903607E-1,9.360722542E0
3.149333030E-1,1.469193101E0,5.551348329E-1,9.710074425E0
3.246176260E-1,1.406979680E0,7.082754970E-1,9.628718376E0
3.343006470E-1,1.464407444E0,8.087740541E-1,9.671789169E0
3.439850220E-1,1.550549030E0,6.699903607E-1,1.011206818E1
3.536701260E-1,1.646261930E0,6.221339107E-1,1.030827999E1
3.633547100E-1,1.674975872E0,7.657032609E-1,1.043270683E1
3.730385120E-1,1.655833244E0,8.709874153E-1,1.051406288E1
3.827245530E-1,1.493121386E0,8.518448472E-1,1.056191921E1
3.924106470E-1,1.316052437E0,7.896314859E-1,1.045184898E1
4.020973660E-1,1.138983607E0,7.896314859E-1,1.019820976E1
4.117820530E-1,1.105484009E0,8.327022791E-1,1.021256733E1
4.214663240E-1,1.062413216E0,8.901300430E-1,1.023649502E1
4.311520010E-1,1.014556766E0,9.379864931E-1,1.024128056E1
4.408374700E-1,8.997012973E-1,1.071984529E0,1.042792130E1
4.505205430E-1,7.992027402E-1,1.134197950E0,1.039442158E1
4.602047100E-1,7.465606928E-1,1.138983607E0,1.030827999E1
4.698904390E-1,7.561319470E-1,1.182054400E0,1.025563812E1
4.795743450E-1,8.662018180E-1,1.182054400E0,1.027956581E1
4.892597620E-1,9.332008362E-1,1.234696507E0,1.017428207E1
4.989459080E-1,9.667003751E-1,1.191625714E0,1.014556789E1
5.086306990E-1,8.901300430E-1,1.057627559E0,9.939785004E0
5.183167410E-1,7.848458290E-1,1.024128079E0,9.824930191E0
5.280022100E-1,6.891329288E-1,1.095912814E0,9.853643417E0
5.376879390E-1,5.790630579E-1,1.105484009E0,9.801001549E0
5.473727300E-1,4.881358147E-1,9.714859724E-1,9.963713646E0
5.570579390E-1,4.546363056E-1,8.757730722E-1,1.004985523E1
5.667434600E-1,4.402793646E-1,1.004985452E0,1.005464077E1
5.764288760E-1,4.259224236E-1,1.167697430E0,1.012164021E1
5.861146050E-1,3.349951804E-1,1.258624673E0,1.015992451E1
5.958006470E-1,1.387837082E-1,1.186840057E0,1.012642574E1
6.054858550E-1,-8.614161611E-2,1.172483087E0,9.954142570E0
6.151705430E-1,-2.679961324E-1,1.153340459E0,9.925428391E0
6.248553350E-1,-3.493520916E-1,1.201196909E0,1.009292603E1
6.345409600E-1,-5.120640397E-1,1.134197950E0,1.003549862E1
6.442256990E-1,-6.508477330E-1,1.043270707E0,1.011685371E1
6.539115850E-1,-8.853443861E-1,8.183453679E-1,9.968499184E0
6.635964800E-1,-9.810572863E-1,7.034898400E-1,9.810572624E0
