"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.180338700E-2,2.081755638E0,-3.254238665E-1,9.504291534E0
5.149015800E-2,2.139183521E0,-3.206382394E-1,9.480362892E0
6.117651200E-2,2.100898266E0,-2.967100143E-1,9.537791252E0
7.086411700E-2,1.971685886E0,-1.100698411E-1,9.595218658E0
8.055036700E-2,1.856830359E0,6.699903309E-2,9.647860527E0
9.023677300E-2,1.785045743E0,1.674975902E-1,9.681360245E0
9.992271000E-2,1.765903115E0,2.057827413E-1,9.734002113E0
1.096094810E-1,1.804188251E0,1.722832322E-1,9.710074425E0
1.192953670E-1,1.842473388E0,8.135596663E-2,9.705288887E0
1.289813560E-1,1.885544300E0,3.349951655E-2,9.719645500E0
1.386667730E-1,1.899901152E0,2.392822690E-2,9.695717812E0
1.483542210E-1,1.871187329E0,4.785645381E-2,9.638289452E0
1.580423460E-1,1.871187329E0,5.742774159E-2,9.623932838E0
1.677297420E-1,1.866401672E0,7.178468257E-2,9.657432556E0
1.774172940E-1,1.818545222E0,1.339980662E-1,9.729216576E0
1.871041170E-1,1.904686809E0,2.392822690E-2,9.801001549E0
1.967927100E-1,1.909472466E0,2.871387079E-2,9.724431038E0
2.064785960E-1,1.837687731E0,1.435693651E-1,9.647860527E0
2.161654190E-1,1.761117458E0,2.344966233E-1,9.829715729E0
2.258521890E-1,1.847259045E0,1.100698411E-1,1.012164021E1
2.355380750E-1,1.938186288E0,-2.392822690E-2,1.022692394E1
2.452247420E-1,2.048256159E0,-1.435693651E-1,1.017906761E1
2.549107310E-1,2.167897224E0,-3.397808075E-1,1.017428207E1
2.645971890E-1,2.297109842E0,-4.594219327E-1,9.978070259E0
2.742847420E-1,2.469393015E0,-4.354937077E-1,1.001156998E1
2.839699500E-1,2.632104874E0,-3.637090325E-1,1.013599682E1
2.936550020E-1,2.163111687E0,-2.201396823E-1,8.824729919E0
3.033407310E-1,1.646261930E0,2.009970993E-1,8.465806961E0
3.130256790E-1,1.746760488E0,7.896314859E-1,9.781859398E0
3.227119290E-1,1.698904037E0,8.997012973E-1,1.007856941E1
3.323972940E-1,1.919043779E0,5.647061467E-1,1.060020447E1
