"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.577532600E-2,1.689332843E0,8.183453679E-1,9.686145782E0
6.563501400E-2,1.555334687E0,8.805587292E-1,9.681360245E0
7.549475300E-2,1.421336651E0,9.667003751E-1,9.681360245E0
8.535444100E-2,1.416550994E0,1.048056364E0,9.748359680E0
9.521418100E-2,1.526620865E0,9.954141974E-1,9.710074425E0
1.050738680E-1,1.550549030E0,9.379864931E-1,9.566504478E0
1.149336080E-1,1.512263894E0,9.762716293E-1,9.422935486E0
1.247933470E-1,1.383051515E0,1.119840980E0,9.427721024E0
1.346530350E-1,1.263410330E0,1.296909928E0,9.623932838E0
1.445127740E-1,1.110269666E0,1.320838094E0,9.662218094E0
1.543724620E-1,1.071984529E0,1.229910851E0,9.844072342E0
1.642322010E-1,1.071984529E0,1.105484009E0,9.796216011E0
1.740918890E-1,1.205982566E0,1.158126116E0,9.681360245E0
1.839516280E-1,1.282552958E0,1.272981644E0,9.576076508E0
1.938112640E-1,1.311266780E0,1.182054400E0,9.600004196E0
2.036710560E-1,1.282552958E0,1.105484009E0,9.652647018E0
2.135307430E-1,1.325623751E0,1.033699393E0,9.762716293E0
2.233904830E-1,1.354337573E0,1.004985452E0,9.973284721E0
2.332502220E-1,1.349551916E0,9.092726111E-1,9.987641335E0
2.431099100E-1,1.406979680E0,1.019342422E0,9.920642853E0
2.529696490E-1,1.450050473E0,1.091127157E0,9.743574142E0
2.628293370E-1,1.545763373E0,1.167697430E0,9.748359680E0
2.726890760E-1,1.617548108E0,1.201196909E0,9.882357597E0
2.825487640E-1,1.210768223E0,1.325623751E0,9.556933403E0
2.924085030E-1,7.226324677E-1,1.579262972E0,9.245866776E0
3.022681910E-1,8.614161611E-1,1.574477315E0,1.068156052E1
3.121279310E-1,8.374879360E-1,1.540977836E0,1.138504982E1
3.219876180E-1,7.561319470E-1,1.138983607E0,1.140897846E1
3.318473580E-1,7.752745152E-1,8.901300430E-1,1.098305607E1
3.417070450E-1,7.322037220E-1,8.614161611E-1,1.045184898E1
3.515357430E-1,6.747759581E-1,1.167697430E0,1.037049294E1
3.612021490E-1,5.934200287E-1,1.430907965E0,1.056670475E1
3.708686080E-1,5.742774606E-1,1.426122308E0,1.070070267E1
3.805350140E-1,5.838487148E-1,1.201196909E0,1.079641533E1
3.902014720E-1,6.460621357E-1,8.566305041E-1,1.097827053E1
3.998678780E-1,6.747759581E-1,6.364908218E-1,1.117926693E1
4.095343370E-1,6.747759581E-1,7.848458290E-1,1.112662506E1
4.192007430E-1,4.977070987E-1,1.043270707E0,1.106919765E1
4.288671490E-1,3.828516304E-1,1.081555843E0,1.104526901E1
4.385336080E-1,3.397808075E-1,9.810572863E-1,1.097348499E1
4.482000140E-1,8.614161611E-2,1.033699393E0,1.101177025E1
4.578664720E-1,1.052841991E-1,1.091127157E0,1.114576817E1
4.675328780E-1,1.292124242E-1,1.191625714E0,1.141854954E1
4.771993370E-1,3.349951804E-1,1.205982566E0,1.163868904E1
4.868657430E-1,3.876372576E-1,1.282552958E0,1.148554897E1
4.965322010E-1,1.019342422E0,1.770688772E0,1.068156052E1
5.061986080E-1,3.771088600E0,3.058027267E0,9.676574707E0
5.158650660E-1,1.746760488E0,2.053041935E0,1.125583744E1
5.255314720E-1,1.296909928E0,1.435693622E0,1.171525955E1
5.351979310E-1,1.268195987E0,1.138983607E0,1.173440266E1
5.448643370E-1,1.775474429E0,5.790630579E-1,1.094477081E1
5.545307950E-1,1.981257200E0,2.823530734E-1,1.050927734E1
5.641972010E-1,1.866401672E0,7.800601721E-1,1.090170002E1
5.738636600E-1,1.426122308E0,1.105484009E0,9.978070259E0
5.835300660E-1,1.220339537E0,1.052842021E0,9.638289452E0
5.931965240E-1,6.987041831E-1,1.028913736E0,1.021256733E1
6.028629310E-1,2.919243574E-1,1.086341500E0,1.047099209E1
6.125293890E-1,2.727817893E-1,1.167697430E0,1.012164021E1
6.221957950E-1,5.312066078E-1,1.311266780E0,9.585647583E0
6.318622530E-1,8.327022791E-1,1.526620865E0,9.298508644E0
6.415286600E-1,1.493121386E0,1.856830359E0,9.394221306E0
6.511951180E-1,1.842473388E0,2.263610125E0,1.003549862E1
6.608615240E-1,1.942971945E0,2.311466694E0,1.126062298E1
6.705279310E-1,3.206382275E0,1.067198873E0,1.162433243E1
6.801943890E-1,4.421936035E0,1.000199914E0,1.159083271E1
6.898608470E-1,5.072783947E0,9.571290612E-1,1.153340530E1
6.995272530E-1,5.335994720E0,1.354337573E0,1.139462185E1
7.091937120E-1,5.048855782E0,1.737189293E0,9.834501266E0
7.188601180E-1,4.651647091E0,2.163111687E0,1.023170948E1
7.285265760E-1,5.316852093E0,2.689532757E0,9.600004196E0
7.381929830E-1,5.584847927E0,3.053241730E0,9.934999466E0
7.478594410E-1,5.613562107E0,2.933600664E0,9.279366493E0
7.575258470E-1,5.618347645E0,2.818745136E0,7.087540627E0
7.671923060E-1,5.972485542E0,2.775674343E0,5.737988472E0
7.768587120E-1,5.388636589E0,2.416750908E0,5.331208706E0
7.865251700E-1,4.843072891E0,2.019542217E0,7.207181931E0
7.961915760E-1,4.728217602E0,1.847259045E0,7.393822193E0
8.058580350E-1,4.541577339E0,1.655833244E0,6.326622963E0
8.155244410E-1,4.297509670E0,1.531406522E0,4.622933388E0
8.251908990E-1,4.187439442E0,1.320838094E0,3.900300980E0
8.348573060E-1,4.216153622E0,1.048056364E0,3.775874138E0
8.445237640E-1,4.488935471E0,8.997012973E-1,4.833501816E0
